name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.00004,-0.00004,0,0.0717,0.0016,-0.0016,0,11.433,0.673,-0.673,0,1.02,0.06,-0.06,0,772.3269,117.5971,-117.5971,0,2.43,0.37,-0.37,0,Mass,0,,,0,828.83,,,0,1480,40,-40,0,0,F8,6150,100,-100,0,1.64,0.09,-0.09,0,1.21,0.28,-0.28,0,0.21,,,0,[Fe/H],4.3,0.1,-0.1,0,02h39m35.44s,39.8976689,-50d00m29.50s,-50.0081934,158.66,0.809,-0.8,9.475,0.003,-0.003,8.088,0.024,-0.024,9.3251,0.000154,-0.000154,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-30 b,1116,0.706 Jupiters,12.283,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3280/hats-30-b/,Gas Giant,2016,0.706 Jupiters,1.175 x Jupiter,0.04354 AU,3.2 days,< 0.096,,,,,,,,,,,,,2500,,,0,12.6,,,0,1.13,,,0,2383.6,476.7,-476.7,0,7.5,1.5,-1.5,0,Mass,,,,,,,,,323,23,-23,0,0,DQ,9552,54.33,-1930.5,0,,,,,0.62,0.03,-0.03,0,,,,,,,,,,08h06m54.62s,121.7275683,-66d18m21.18s,-66.3058835,19.2444,0.0073,-0.0073,13.855,0.137,-0.137,13.781,0.043,-0.043,13.6826,0.000339,-0.000339
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0000011,-0.0000011,0,0.0204,0.0012,-0.0012,0,10.4,1,-1,0,0.928,0.089,-0.089,0,4386.054,,,0,13.8,,,0,Mass,0,,,0,0.18,0.02,-0.02,0,163,14,-18,0,0,,4710,60,-60,0,0.01,0,0,0,0.52,0.06,-0.06,0,,,,,,7.92,0.03,-0.03,0,18h57m39.76s,284.415675,+53d30m32.49s,53.5090244,24.7359,0.0435,-0.0433,17.244,0.046,-0.046,15.548,0.186,-0.186,16.958,0.000967,-0.000967,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-42 b,2611,1.88 Jupiters,13.682,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6285/hats-42-b/,Gas Giant,2018,1.88 Jupiters,1.4 x Jupiter,0.03689 AU,2.3 days,< 0.229,,,,,,,,,,,,,8,1.3,-1.3,0,10.468,0.327,-0.327,0,0.934,0.029,-0.029,0,6992,636,-636,0,22,2,-2,0,Mass,,,,,,,,,450,,,0,0,T8.5,575,25,-25,0,0.09,0,0,0,0.03,0.01,-0.01,0,,,,,,5,0.1,-0.1,0,12h17m56.91s,184.487125,+16d26m40.2s,16.4445,10.1,1.9,-1.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000013,-0.000015,0,0.047,0.001,-0.001,0,16.7,1.79,-2.02,0,1.49,0.16,-0.18,0,1274.44,111.24,-111.24,0,4.01,0.35,-0.35,0,Mass,0.1,,,1,,,,,1500,100,-100,0,0,F6 V,6250,200,-200,0,1.15,0.1,-0.12,0,1.2,0.1,-0.1,0,-0.5,0.5,-0.5,0,[Fe/H],4.4,0.1,-0.1,0,19h35m56.41s,293.9850284,+36d17m46.66s,36.2962939,2346.01,341.4,-265.8,16.644,1.133,-1.133,15.271,0.199,-0.199,16.4299,0.000695,-0.000695,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HATS-44 b,1455,0.56 Jupiters,14.397,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6299/hats-44-b/,Gas Giant,2018,0.56 Jupiters,1.067 x Jupiter,0.03649 AU,2.7 days,< 0.279,,,,,,,,,,0.00000065,-0.00000065,0,0.01855,0.00062,-0.00062,0,15.278,0.684,-0.684,0,1.363,0.061,-0.061,0,355.9696,50.8528,-50.8528,0,1.12,0.16,-0.16,0,Mass,0,,,0,2544.69,,,0,2000,100,-100,0,0,K2 V,5000,250,-250,0,0.75,0.03,-0.03,0,0.82,0.08,-0.08,0,0.2,0.3,-0.2,0,[Fe/H],4.6,0.02,-0.02,0,19h34m55.87s,293.7327826,+36d48m55.78s,36.8154936,1030.768344,143.3254939,-143.3254939,15.954,0.183,-0.183,13.414,0.039,-0.039,15.5965,0.00233,-0.00233
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000001,-0.000001,0,0.0282,0.0015,-0.0015,0,11.561,0.068,-0.068,0,1.031,0.006,-0.006,0,188.15536,52.44195,-41.00007,0,0.592,0.165,-0.129,0,Mass,0.012,,,1,113.59,,,0,2198,,,1,0,K7 V,4251,175,-175,0,0.61,0.09,-0.09,0,0.65,0.1,-0.1,0,,,,,,4.55,,,0,19h56m12.15s,299.0506412,+17d34m11.87s,17.5699627,305.3,3.002,-2.945,15.564,0.137,-0.137,12.198,0.02,-0.02,15.0324,0.000499,-0.000499,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 149026 b,247,0.38 Jupiters,8.15,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6939/hd-149026-b/,Gas Giant,2005,0.38 Jupiters,0.74 x Jupiter,0.04364 AU,2.9 days,0,,,,,,,,,,0.0000008,-0.0000008,0,0.0234,0.0015,-0.0015,0,12.993,0.229,-0.235,0,1.159,0.02,-0.021,0,232.33373,171.94603,-98.84513,0,0.731,0.541,-0.311,0,Mass,0.057,,,1,282.26,,,0,2470,,,1,0,K6 V,4591,195,-195,0,0.66,0.1,-0.1,0,0.73,0.11,-0.11,0,,,,,,4.53,,,0,19h51m09.82s,297.7909214,+16d54m45.24s,16.9125679,565.541,14.296,-13.619,16.186,0.035,-0.035,13.332,0.039,-0.039,15.9359,0.000564,-0.000564
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
